CD_PRODUIT|NOM_PRODUIT|PRIX_ACHAT_PRODUIT|PRIX_VENTE_PRODUIT|CD_SOUS_CATEGORIE
TEC-PH-5816|Samsung Convoy 3|53.2752|66.594|SC001
FUR-CH-5379|Novimex Executive Leather Armchair. Black|219.816|274.77|SC002
TEC-PH-5356|Nokia Smart Phone. with Caller ID|204.4512|255.564|SC001
TEC-PH-5267|Motorola Smart Phone. Cordless|437.0904|546.363|SC001
TEC-CO-6011|Sharp Wireless Fax. High-Speed|184.1424|230.178|SC003
TEC-PH-5842|Samsung Smart Phone. with Caller ID|203.568|254.46|SC001
FUR-CH-5378|Novimex Executive Leather Armchair. Adjustable|110.5056|138.132|SC002
FUR-TA-3764|Chromcraft Conference Table. Fully Assembled|372.9664|466.208|SC004
FUR-BO-5957|Sauder Facets Collection Library. Sky Alder Finish|95.7488|119.686|SC005
FUR-CH-4421|Global Push Button Manager's Chair. Indigo|43.8408|54.801|SC002
OFF-AR-5309|Newell 330|3.8272|4.784|SC006
FUR-TA-3420|Bevis Conference Table. Fully Assembled|111.0276|138.7845|SC004
TEC-PH-3807|Cisco Smart Phone. with Caller ID|157.0176|196.272|SC001
FUR-CH-4530|Harbour Creations Executive Leather Armchair. Adjustable|113.0832|141.354|SC002
OFF-AP-4959|KitchenAid Microwave. White|148.0608|185.076|SC007
OFF-AP-3575|Breville Refrigerator. Red|166.1856|207.732|SC007
OFF-ST-3078|Akro Stacking Bins|6.312|7.89|SC008
OFF-AP-4743|Hoover Stove. Red|181.9104|227.388|SC007
TEC-CO-3597|Brother Fax Machine. High-Speed|235.65456|294.5682|SC003
OFF-AP-4967|KitchenAid Stove. White|136.3896|170.487|SC007
FUR-TA-4644|Hon Computer Table. with Bottom Storage|276.8808|346.101|SC004
OFF-ST-3744|Carina 42Hx23 3/4W Media Storage Unit|51.8272|64.784|SC008
FUR-CH-5774|SAFCO Executive Leather Armchair. Black|275.4|344.25|SC002
OFF-AP-4960|KitchenAid Refrigerator. Black|210.948|263.685|SC007
TEC-PH-5268|Motorola Smart Phone. Full Size|154.2456|192.807|SC001
FUR-TA-4643|Hon Computer Table. Fully Assembled|276.4776|345.597|SC004
FUR-TA-5060|Lesro Conference Table. with Bottom Storage|445.9416|557.427|SC004
OFF-FA-6129|Staples|16.8832|21.104|SC009
FUR-CH-5443|Office Star Executive Leather Armchair. Red|150.2976|187.872|SC002
TEC-PH-5841|Samsung Smart Phone. VoIP|203.5968|254.496|SC001
TEC-MA-5503|Okidata Inkjet. Wireless|75.4128|94.266|SC010
TEC-PH-4389|Geemarc AmpliPOWER60|44.544|55.68|SC001
OFF-AP-3579|Breville Stove. Red|299.488|374.36|SC007
OFF-ST-4291|Fellowes Super Stor/Drawer Files|103.392|129.24|SC008
TEC-PH-3148|Apple Smart Phone. Full Size|152.6904|190.863|SC001
FUR-CH-4840|Iceberg Nesting Folding Chair. 19w x 6d x 43h|46.576|58.22|SC002
TEC-AC-6340|Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc. 10/Pack|7.4176|9.272|SC011
TEC-CO-3598|Brother Fax Machine. Laser|101.593024|126.99128|SC003
TEC-PH-5269|Motorola Smart Phone. with Caller ID|180.7512|225.939|SC001
FUR-BO-5951|Sauder Classic Bookcase. Traditional|226.7148|283.3935|SC005
OFF-AP-3874|Cuisinart Stove. Silver|287.488|359.36|SC007
FUR-FU-4072|Eldon Image Series Desk Accessories. Ebony|7.904|9.88|SC012
FUR-CH-5441|Office Star Executive Leather Armchair. Adjustable|112.7808|140.976|SC002
FUR-CH-5380|Novimex Executive Leather Armchair. Red|196.352|245.44|SC002
TEC-MA-5007|Konica Inkjet. White|206.23176|257.7897|SC010
FUR-CH-4531|Harbour Creations Executive Leather Armchair. Black|113.6664|142.083|SC002
OFF-BI-4372|GBC VeloBind Cover Sets|3.7056|4.632|SC013
TEC-CO-3678|Canon Copy Machine. Color|84.064448|105.08056|SC003
OFF-LA-3231|Avery 51|4.032|5.04|SC014
FUR-BO-5762|Safco Classic Bookcase. Pine|175.8|219.75|SC005
TEC-CO-4590|Hewlett Wireless Fax. Color|122.1216|152.652|SC003
OFF-BI-2937|ACCOHIDE 3-Ring Binder. Blue. 1|0.9912|1.239|SC013
FUR-TA-3766|Chromcraft Conference Table. with Bottom Storage|698.136|872.67|SC004
OFF-AP-3577|Breville Refrigerator. White|165.5904|206.988|SC007
OFF-PA-4014|EcoTones Memo Sheets|2.56|3.2|SC015
FUR-BO-5760|Safco Classic Bookcase. Metal|105.0264|131.283|SC005
OFF-AR-3276|Avery Fluorescent Highlighter Four-Color Set|2.672|3.34|SC006
TEC-PH-5839|Samsung Smart Phone. Cordless|204.48|255.6|SC001
TEC-PH-3130|Apple Audio Dock. with Caller ID|40.0536|50.067|SC001
TEC-MA-3788|Cisco CP-7937G Unified IP Conference Station Phone|278.28|347.85|SC010
FUR-TA-3779|Chromcraft Wood Table. Rectangular|76.8144|96.018|SC004
FUR-TA-3771|Chromcraft Round Table. Rectangular|74.3472|92.934|SC004
OFF-AP-4497|Hamilton Beach Microwave. Black|202.9968|253.746|SC007
FUR-TA-3422|Bevis Conference Table. with Bottom Storage|480.3552|600.444|SC004
TEC-PH-5355|Nokia Smart Phone. Full Size|305.928|382.41|SC001
TEC-PH-3147|Apple Smart Phone. Cordless|178.164|222.705|SC001
TEC-MA-3329|Bady BDG101FRU Card Printer|511.9936|639.992|SC010
TEC-CO-3599|Brother Ink. Color|63.303744|79.12968|SC003
TEC-CO-6010|Sharp Wireless Fax. Digital|75.473536|94.34192|SC003
FUR-CH-4654|Hon Executive Leather Armchair. Adjustable|145.5072|181.884|SC002
TEC-CO-3710|Canon Wireless Fax. Laser|121.1712|151.464|SC003
FUR-BO-3176|Atlantic Metals Mobile 4-Shelf Bookcases. Custom Colors|67.4352|84.294|SC005
OFF-BI-3324|Avery Trapezoid Extra Heavy Duty 4 Binders|10.0656|12.582|SC013
OFF-AP-4501|Hamilton Beach Refrigerator. Black|159.8592|199.824|SC007
OFF-AP-4745|Hoover Stove. White|181.3152|226.644|SC007
TEC-CO-3611|Brother Wireless Fax. Laser|151.524|189.405|SC003
FUR-BO-4849|Ikea Classic Bookcase. Mobile|265.1328|331.416|SC005
FUR-TA-5066|Lesro Sheffield Collection Coffee Table. End Table. Center Table. Corner Table|57.096|71.37|SC004
OFF-AP-4508|Hamilton Beach Stove. White|389.1456|486.432|SC007
OFF-BI-3308|Avery Recycled Flexi-View Covers for Binding Systems|12.824|16.03|SC013
TEC-MA-5572|Panasonic Printer. Red|63.2736|79.092|SC010
OFF-AP-4503|Hamilton Beach Refrigerator. Silver|160.2816|200.352|SC007
TEC-PH-3806|Cisco Smart Phone. Full Size|208.8576|261.072|SC001
TEC-PH-5840|Samsung Smart Phone. Full Size|458.9568|573.696|SC001
TEC-CO-5999|Sharp Fax Machine. High-Speed|70.524|88.155|SC003
OFF-PA-6512|Xerox 1956|3.8272|4.784|SC015
FUR-BO-3891|Dania Classic Bookcase. Pine|131.8752|164.844|SC005
FUR-CH-5442|Office Star Executive Leather Armchair. Black|272.97912|341.2239|SC002
OFF-ST-4516|Hanging Personal Folder File|10.048|12.56|SC008
TEC-PH-3149|Apple Smart Phone. with Caller ID|340.832|426.04|SC001
FUR-BO-5948|Sauder Classic Bookcase. Metal|139.344|174.18|SC005
TEC-CO-6012|Sharp Wireless Fax. Laser|264.80448|331.0056|SC003
OFF-AP-4738|Hoover Refrigerator. White|279.68|349.6|SC007
OFF-PA-6557|Xerox 1998|4.1472|5.184|SC015
TEC-CO-4593|Hewlett Wireless Fax. Laser|91.2456|114.057|SC003
OFF-BI-3185|Avery 3 1/2 Diskette Storage Pages. 10/Pack|6.6816|8.352|SC013
FUR-BO-3639|Bush Library with Doors. Metal|155.2128|194.016|SC005
TEC-CO-4790|HP Wireless Fax. Digital|114.76816|143.4602|SC003
FUR-TA-4622|Hon 5100 Series Wood Tables|116.392|145.49|SC004
OFF-BI-4340|GBC DocuBind P400 Electric Binding System|326.6376|408.297|SC013
TEC-CO-3709|Canon Wireless Fax. High-Speed|120.5952|150.744|SC003
TEC-CO-5998|Sharp Fax Machine. Digital|141.7392|177.174|SC003
FUR-CH-4613|Hon 2090 ?Pillow Soft? Series Mid Back Swivel/Tilt Chairs|157.3488|196.686|SC002
OFF-AP-4221|Eureka The Boss Lite 10-Amp Upright Vacuum. Blue|64.128|80.16|SC007
TEC-AC-5858|SanDisk Cruzer 64 GB USB Flash Drive|23.2448|29.056|SC011
TEC-CO-3587|Brother Copy Machine. Color|84.3936|105.492|SC003
TEC-CO-4577|Hewlett Fax Machine. High-Speed|135.391872|169.23984|SC003
TEC-AC-3405|Belkin Router. USB|110.4896|138.112|SC011
FUR-BO-5761|Safco Classic Bookcase. Mobile|222.09768|277.6221|SC005
OFF-PA-6214|Strathmore Photo Mount Cards|5.424|6.78|SC015
FUR-BO-5787|Safco Library with Doors. Pine|166.8864|208.608|SC005
OFF-AP-4736|Hoover Refrigerator. Red|349.43664|436.7958|SC007
TEC-MA-6150|StarTech Printer. Wireless|184.4424|230.553|SC010
OFF-PA-6430|Xerox 1881|7.8592|9.824|SC015
TEC-AC-5223|Memorex Router. Bluetooth|78.7872|98.484|SC011
TEC-AC-5109|Logitech G600 MMO Gaming Mouse|51.1936|63.992|SC011
FUR-BO-5763|Safco Classic Bookcase. Traditional|140.208|175.26|SC005
TEC-AC-3403|Belkin Router. Erganomic|102.624|128.28|SC011
FUR-BO-3624|Bush Classic Bookcase. Metal|214.3128|267.891|SC005
TEC-CO-4789|HP Wireless Fax. Color|86.796|108.495|SC003
FUR-FU-4762|Howard Miller 14-1/2 Diameter Chrome Round Wall Clock|20.4608|25.576|SC012
OFF-BI-4819|Ibico Covers for Plastic or Wire Binding Elements|1.84|2.3|SC013
FUR-TA-5064|Lesro Round Table. Rectangular|161.8488|202.311|SC004
OFF-SU-2972|Acme Forged Steel Scissors with Black Enamel Handles|5.9584|7.448|SC016
OFF-AP-4502|Hamilton Beach Refrigerator. Red|160.0416|200.052|SC007
OFF-AP-4507|Hamilton Beach Stove. Silver|289.648|362.06|SC007
FUR-TA-5065|Lesro Round Table. with Bottom Storage|72.3216|90.402|SC004
OFF-PA-6420|Wirebound Message Books. Four 2 3/4 x 5 Forms per Page. 600 Sets per Book|5.9328|7.416|SC015
FUR-CH-4532|Harbour Creations Executive Leather Armchair. Red|152.2752|190.344|SC002
TEC-PH-3805|Cisco Smart Phone. Cordless|208.4736|260.592|SC001
OFF-BI-2911|Acco Hanging Data Binders|0.6096|0.762|SC013
TEC-AC-5744|Sabrent 4-Port USB 2.0 Hub|4.3456|5.432|SC011
TEC-AC-4185|Enermax Router. Bluetooth|109.53192|136.9149|SC011
OFF-PA-6596|Xerox 231|5.184|6.48|SC015
TEC-MA-4205|Epson Printer. Durable|63.0576|78.822|SC010
FUR-TA-4642|Hon Computer Table. Adjustable Height|391.848|489.81|SC004
OFF-PA-3114|Ampad Gold Fibre Wirebound Steno Books. 6 x 9. Gregg Ruled|2.8224|3.528|SC015
FUR-TA-5054|Lesro Computer Table. Adjustable Height|221.4732|276.8415|SC004
FUR-TA-5072|Lesro Wood Table. Fully Assembled|75.024|93.78|SC004
TEC-PH-5354|Nokia Smart Phone. Cordless|381.69|477.1125|SC001
FUR-TA-4706|Hon Training Table. Fully Assembled|142.5792|178.224|SC004
FUR-TA-3344|Barricks Conference Table. Fully Assembled|290.736|363.42|SC004
FUR-TA-5421|Office Impressions End Table. 20-1/2H x 24W x 20D|243.008|303.76|SC004
OFF-AP-3574|Breville Refrigerator. Black|124.5024|155.628|SC007
FUR-FU-3936|Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting|67.4176|84.272|SC012
OFF-AP-3581|Breville Stove. White|134.3232|167.904|SC007
FUR-TA-4943|KI Adjustable-Height Table|37.8312|47.289|SC004
OFF-AP-4966|KitchenAid Stove. Silver|182.688|228.36|SC007
OFF-ST-6049|Smead Lockers. Wire Frame|63.1968|78.996|SC008
TEC-CO-5991|Sharp Copy Machine. High-Speed|95.76|119.7|SC003
OFF-BI-4338|GBC DocuBind 300 Electric Binding Machine|126.2352|157.794|SC013
OFF-AP-3580|Breville Stove. Silver|179.9328|224.916|SC007
OFF-ST-6047|Smead Lockers. Industrial|47.736|59.67|SC008
OFF-SU-5635|Premier Electric Letter Opener|92.688|115.86|SC016
FUR-FU-4756|Howard Miller 12 Round Wall Clock|25.1456|31.432|SC012
TEC-AC-6351|WD My Passport Ultra 1TB Portable External Hard Drive|44.16|55.2|SC011
TEC-CO-3608|Brother Wireless Fax. Color|161.8344|202.293|SC003
OFF-ST-4257|Fellowes File Cart. Blue|43.9392|54.924|SC008
TEC-MA-4210|Epson Receipt Printer. Red|77.6424|97.053|SC010
OFF-ST-4266|Fellowes Lockers. Blue|91.2252|114.0315|SC008
FUR-BO-3903|Dania Library with Doors. Pine|77.6|97|SC005
